name,st_x,st_y
中国光大银行(日晖社区支行),121.467472,31.195243
中国建设银行(上海罗店支行),121.348482,31.415459
交通银行24小时自助银行(罗店支行),121.348567,31.415495
上海农商银行(新寺支行),121.459745,30.864669
兴业银行ATM(思博职业技术学院),121.778717,31.035987
交通银行(物贸大厦支行),121.423393,31.243579
上海银行(市政大厦支行),121.471979,31.226882
上海农商银行24小时自助银行(新河支行),121.522377,31.580945
中国农业银行(新河支行),121.522483,31.58116
中国银行(碧云支行),121.580892,31.237677
兴业银行(高跃路社区支行),121.472784,31.318038
中国银行(上海市恒隆广场支行),121.454093,31.227909
上海银行(岭南路支行),121.45536,31.324821
中国建设银行24小时自助银行(上海新天地支行),121.475581,31.216678
中国工商银行ATM(九六广场),121.524403,31.227293
中国工商银行24小时自助银行(平凉路街道人口综合管理办公室西南),121.51912,31.254094
浙商银行(上海分行),121.460763,31.226628
中国工商银行24小时自助银行(裕德路支行),121.440656,31.183893
中国工商银行24小时自助银行(古美路支行),121.398051,31.160188
中国工商银行24小时自助银行(福泉山路),121.185245,31.20043
中国工商银行离行式自助服务区(上海分行地铁支行上海体育馆站),121.43841,31.1815
中国邮政储蓄银行(共富路营业所),121.43043,31.349691
中国工商银行24小时自助银行(德州路支行),121.484011,31.166874
中国建设银行(安图路支行),121.540936,31.292305
中国建设银行(上海福州路支行),121.476991,31.231725
中国邮政储蓄银行(鞍山支行),121.514249,31.278156
中国邮政储蓄银行(仙霞新村营业所),121.394496,31.205667
中国邮政储蓄银行(东沟邮局营业部),121.574762,31.290045
中国建设银行(江海路支行),121.457208,30.909857
中国邮政储蓄银行(六团营业所),121.730324,31.155765
中国邮政储蓄银行(虹桥支行),121.392056,31.181515
中国建设银行(北门支行),121.104893,31.147441
中国邮政储蓄银行(马五公路营业所),121.797475,30.906122
中国邮政储蓄银行(新五支行),121.143133,30.958394
中国建设银行(西渡支行),121.432596,30.989806
中国邮政储蓄银行(城中营业所),121.124859,31.146807
中国邮政储蓄银行(罗香路储蓄所),121.439375,31.135203
中国邮政储蓄银行(上海青浦区蒸淀营业所),121.028365,30.974323
中国工商银行离行式自助服务区(上海分行虹口支行三至喜来登大酒店),121.487682,31.25791
中国邮政储蓄银行(莲盛邮局营业部),120.990055,31.04954
中国邮政储蓄银行ATM(伟业路营业所),121.406237,31.104439
中国工商银行24小时自助银行,121.407068,31.252846
中国工商银行ATM(中江路),121.390869,31.233528
中国邮政储蓄银行24小时自助银行(颛建路支行),121.397641,31.06921
中国邮政储蓄银行24小时自助银行(外冈支行),121.175955,31.362188
星展银行24小时自助银行(上海南京西路支行),121.450773,31.224591
杭州银行(临汾路支行),121.45545,31.310955
中国邮政储蓄银行24小时自助银行(金山区支行),121.33866,30.712504
中国邮政储蓄银行(古松支行),121.120008,30.983477
中国邮政储蓄银行24小时自助银行(浦江镇支行),121.497702,31.076404
中国邮政储蓄银行(玉田营业所),121.490372,31.279687
中国邮政储蓄银行24小时自助银行(南翔支行),121.310234,31.288173
中国邮政储蓄银行(黄桦路营业所),121.364234,31.18225
中国邮政储蓄银行(平塘营业所),121.365229,31.21091
